Levels,MSE,PSNR,SSIM
128,4930.9551857347,11.2014930534074,0.779904020711083
64,11095.3678819101,7.67938654440952,0.44037286856606
32,15100.9284380152,6.34076711381944,0.220828196344268
16,17337.173870755,5.74102056214897,0.105643277743739
8,18514.1435589076,5.45576733936583,0.0483703583231016
4,19125.6850744587,5.31463360507434,0.0188393142313611
2,19449.1468639411,5.24179805098669,0.00507312855228415
